Chaka Fattahnew|2015-12-25|31283
Chaka Fattahnew|2015-12-26|74205
Chaka Fattahnew|2015-12-27|89416
Chaka Fattahnew|2015-12-28|271687
Chaka Fattahnew|2015-12-29|329403
Chaka Fattahnew|2015-12-30|458219
Chaka Fattahnew|2015-12-31|660228
Chaka Fattahnew|2016-01-01|44518
Chaka Fattahnew|2016-01-02|116518
Chaka Fattahnew|2016-01-03|132161
Chaka Fattahnew|2016-01-04|430237
Chaka Fattahnew|2016-01-05|400680
Chaka Fattahnew|2016-01-06|438061
Chaka Fattahnew|2016-01-07|362036
Chaka Fattahnew|2016-01-08|319240
