Marist College|2016-03-22|619149|Clinton
Marist College|2016-03-22|256068|Sanders
Marist College|2016-03-23|459261|Clinton
Marist College|2016-03-23|637808|Sanders
Marist College|2016-03-24|391876|Clinton
Marist College|2016-03-24|335970|Sanders
Marist College|2016-03-25|297974|Clinton
Marist College|2016-03-25|487568|Sanders
Marist College|2016-03-26|151008|Clinton
Marist College|2016-03-26|522847|Sanders
Marist College|2016-03-27|170937|Clinton
Marist College|2016-03-27|814245|Sanders
Marist College|2016-03-28|499909|Clinton
Marist College|2016-03-28|704466|Sanders
Marist College|2016-03-29|504904|Clinton
Marist College|2016-03-29|683047|Sanders
Marist College|2016-03-30|679725|Clinton
Marist College|2016-03-30|654328|Sanders
Marist College|2016-03-31|705616|Clinton
Marist College|2016-03-31|1450698|Sanders
Marist College|2016-04-01|588337|Clinton
Marist College|2016-04-01|645315|Sanders
Marist College|2016-04-02|265483|Clinton
Marist College|2016-04-02|354080|Sanders
Marist College|2016-04-03|244080|Clinton
Marist College|2016-04-03|632446|Sanders
Marist College|2016-04-04|704771|Clinton
Marist College|2016-04-04|653796|Sanders
Marist College|2016-04-05|780058|Clinton
Marist College|2016-04-05|882942|Sanders
