Duncan D. Hunternew|2016-02-17|9338
Duncan D. Hunternew|2016-02-18|13684
Duncan D. Hunternew|2016-02-19|9502
Duncan D. Hunternew|2016-02-20|12615
Duncan D. Hunternew|2016-02-21|34579
Duncan D. Hunternew|2016-02-22|26192
Duncan D. Hunternew|2016-02-23|19081
Duncan D. Hunternew|2016-02-24|39017
Duncan D. Hunternew|2016-02-25|26088
Duncan D. Hunternew|2016-02-26|18794
Duncan D. Hunternew|2016-02-27|22347
Duncan D. Hunternew|2016-02-28|7511
Duncan D. Hunternew|2016-02-29|16506
Duncan D. Hunternew|2016-03-01|40307
Duncan D. Hunternew|2016-03-02|30880
