Paul R. LePagenew|2016-02-19|9502
Paul R. LePagenew|2016-02-20|12615
Paul R. LePagenew|2016-02-21|34579
Paul R. LePagenew|2016-02-22|26192
Paul R. LePagenew|2016-02-23|19081
Paul R. LePagenew|2016-02-24|39017
Paul R. LePagenew|2016-02-25|26088
Paul R. LePagenew|2016-02-26|18794
Paul R. LePagenew|2016-02-27|22347
Paul R. LePagenew|2016-02-28|7511
Paul R. LePagenew|2016-02-29|16506
Paul R. LePagenew|2016-03-01|40307
Paul R. LePagenew|2016-03-02|30880
Paul R. LePagenew|2016-03-03|75081
Paul R. LePagenew|2016-03-04|27396
